קוד זיהוי,שדה1,שדה2,שדה3,שדה4,שדה5,שדה6,שדה7,שדה8,שדה9,שדה10,שדה11,שדה12,שדה13,שדה14,שדה15,שדה16,שדה17,שדה18,שדה19,שדה20,שדה21,שדה22,שדה23,שדה24,שדה25,שדה26,שדה27,שדה28,שדה29,שדה30,שדה31,שדה32
3166,1499,1499,תל א-סאקי,228/252,רמת הגולן,אפשטיין קלר,7-8.1975,כלקולית,,חירבה,כפרי,,,שרידי בנייה,,"חא נו, עמ 1-2",,,,,,,,,,,,,,,,
3167,1500,1500,תל א-שייח,אין מג,סיני,גורן אבנר ולפינסקי נדב,5.1972,ביזנטית,מאה 5-6 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא מג, עמ 27",yes,,,,,,,,,,,,,,,
3168,1501,1501,תל אבו הואם,15195-225/24510-30,חוף הים הדרומי,פיילשטוקר מרטין,12.1996-2.1997,הלניסטית,,מרגלות תל,כפרי,,10*10,שרידי בנייה,,"חא 108, עמ 30",,,,,,,,,,,,,,,,
3169,1501,1502,תל אבו הוואם,152/245,חוף הים הדרומי,ענתי עמנואל,4-5.1963,ברונזה מאוחרת,,תל,עירוני,,,שרידי בנייה,,"חא ז, עמ 14-15",,,,,,,,,,,,,,,,
3170,1503,1503,תל אביב,1303/1705,חוף הים הדרומי,לוי יוסי,"1,4-1990",ביזנטית,מאה 6 לספירה,חירבה,כפרי,,,מתקן,גת,"חא צו, עמ 42-43",,,,,,,,,,,,,,,,
3171,1504,1504,תל אביב- תל ברוך,1321-2/1706-7,חוף הים הדרומי,לוי יוסי,3.1989,רומית,,מערה,קבר,,,קבר,,"חא צד, עמ 45-46",yes,,,,,,,,,,,,,,,
3172,1505,1505,"תל אביב, א-שיח מואניס",131431/168131,חוף הים הדרומי,גורזלזני אמיר,6.1997,צלבני,,חירבה,קבר,,,קבר,,"חא 109, עמ 144",,,,,,,,,,,,,,,,
3173,1506,1506,"תל אביב, אבו כביר",130-140/160-170,חוף הים הדרומי,לוי יוסי,10.1987,רומית - ביזנטית,,מערה,קבר,,,קבר,,"חא צג, עמ 65",,,,,,,,,,,,,,,,
3174,1507,1507,"תל אביב, ביה""ס בארי",130-140/160-170,חוף הים הדרומי,קפלן יעקב,1965,צלבני,מאה 12-13 לספירה,חירבה,עירוני,,,שרידי בנייה,,"חא יז, עמ 8",,,,,,,,,,,,,,,,
3175,1508,1508,"תל אביב, בית חולים איכילוב",130-140/160-170,חוף הים הדרומי,קפלן חיה ויעקב,1971,הלניסטית,מאה 3 לפנהס,מערה,קבר,,,קבר,,"חא מא-מב, עמ 26",,,,,,,,,,,,,,,,
3176,1509,1509,"תל אביב, גב בית המטבחיים",129505-27/166688-730,חוף הים הדרומי,סארי כמיל,6.1998,ברונזה תיכונה 2ב,,חירבה,כפרי?,,,מתקן,כבשן,"חא 111, עמ 135",,,,,,,,,,,,,,,,
3177,1510,1510,"תל אביב, גבעת בית המטבחיים",1295/1667,חוף הים הדרומי,לוי יוסי,1991,ביזנטית,,מערה,קבר,,,קבר,,"חא 100, עמ 43-45",,,,,,,,,,,,,,,,
3178,1510,1510,"תל אביב, גבעת בית המטבחיים",1295/1667,חוף הים הדרומי,לוי יוסי,1991,הלניסטית,,מערה,כפרי?,,,קרמיקה בלבד,,"חא 100, עמ 43-45",,,,,,,,,,,,,,,,
3179,1510,1510,"תל אביב, גבעת בית המטבחיים",1295/1667,חוף הים הדרומי,לוי יוסי,1991,מוסלמי קדום,,מערה,כפרי?,,,קרמיקה בלבד,,"חא 100, עמ 43-45",,,,,,,,,,,,,,,,
3180,1510,1510,"תל אביב, גבעת בית המטבחיים",1295/1667,חוף הים הדרומי,לוי יוסי,1991,פרסית,,מערה,כפרי?,,,קרמיקה בלבד,,"חא 100, עמ 43-45",,,,,,,,,,,,,,,,
3181,1510,1510,"תל אביב, גבעת בית המטבחיים",1295/1667,חוף הים הדרומי,לוי יוסי,1991,רומית,,מערה,כפרי?,,,קרמיקה בלבד,,"חא 100, עמ 43-45",,,,,,,,,,,,,,,,
3182,1511,1511,"תל אביב, דרך פתח תקווה",130-140/160-170,חוף הים הדרומי,קפלן חיה ויעקב,1971,ברונזה תיכונה 1,,מערה,קבר,,,קבר,,"חא מא-מב, עמ 26",,,,,,,,,,,,,,,,
3183,1512,1512,"תל אביב, ח אל חדרה",1348/1683,חוף הים הדרומי,אלישע יוסי,4-5.1996,ביזנטית,מאה 6 לספירה,חירבה,כפרי?,,,שרידי בנייה,,"חא 108, עמ 177-178",,,,,,,,,,,,,,,,
3184,1513,1513,"תל אביב, ח אל חדרה",13446/16847,חוף הים הדרומי,גורזלזני אמיר,8.1993,ביזנטית,מאה 4-5 לספירה,מערה,קבר,,,קבר,,"חא 103, עמ 52-53",,,,,,,,,,,,,,,,
3185,1514,1514,"תל אביב, כיכר היל 1",130-140/160-170,חוף הים הדרומי,קפלן חיה ויעקב,1971,ברונזה תיכונה 2,,מערה,קבר,,,קבר,,"חא מא-מב, עמ 26",,,,,,,,,,,,,,,,
3186,1515,1515,"תל אביב, מגרשי התערוכה",130-140/160-170,חוף הים הדרומי,קפלן חיה ויעקב,1971,ברונזה תיכונה 2,,מערה,קבר,,,קבר,,"חא מא-מב, עמ 26-27",,,,,,,,,,,,,,,,
3187,1515,1515,"תל אביב, מגרשי התערוכה",130-140/160-170,חוף הים הדרומי,קפלן חיה ויעקב,1971,כלקולית,,חירבה,כפרי,,,מתקן,,"חא מא-מב, עמ 26-27",,,,,,,,,,,,,,,,
3188,1516,1516,"תל אביב, מוזיאון הארץ",130-140/160-170,חוף הים הדרומי,קידיאושן ניקולה,10.1987,ביזנטית,,שרידים חקלאיים,כפרי,,,מתקן,,"חא צג, עמ 64",,,,,,,,,,,,,,,,
3189,1516,1516,"תל אביב, מוזיאון הארץ",130-140/160-170,חוף הים הדרומי,קידיאושן ניקולה,10.1987,מוסלמי קדום,,שרידים חקלאיים,כפרי,,,מתקן,,"חא צג, עמ 64",,,,,,,,,,,,,,,,
3190,1516,1517,"תל אביב, מוזיאון הארץ",130-140/160-170,חוף הים הדרומי,איילון איתן,5.1987,רומית - ביזנטית,,מערה,קבר,,,קבר,,"חא צ, עמ 37-38",,,,,,,,,,,,,,,,
3191,1516,1518,"תל אביב, מוזיאון הארץ",130-140/160-170,חוף הים הדרומי,איילון איתן,8.1982,רומית,,שרידים חקלאיים,כפרי,,,מתקן,גתות יין,"חא פ-פא, עמ 17",,,,,,,,,,,,,,,,
3192,1516,1519,"תל אביב, מוזיאון הארץ",130-140/160-170,חוף הים הדרומי,איילון איתן ואחרים,12.1984,ביזנטית,,מרגלות תל,עירוני,,,שרידי בנייה,,"חא פז, עמ 23-24",,,,,,,,,,,,,,,,
3193,1516,1519,"תל אביב, מוזיאון הארץ",130-140/160-170,חוף הים הדרומי,איילון איתן ואחרים,12.1984,ברונזה תיכונה 2א,,מרגלות תל,עירוני,,,שרידי בנייה,,"חא פז, עמ 23-24",,,,,,,,,,,,,,,,
3194,1516,1520,"תל אביב, מוזיאון הארץ",130-140/160-170,חוף הים הדרומי,קפלן חיה ויעקב,1976,ברונזה תיכונה 2,,מערה,קבר,,,קבר,,"חא נט-ס, עמ 25",,,,,,,,,,,,,,,,
3195,1516,1520,"תל אביב, מוזיאון הארץ",130-140/160-170,חוף הים הדרומי,קפלן חיה ויעקב,1976,ברזל 2,,מערה,קבר,,,קבר,,"חא נט-ס, עמ 25",,,,,,,,,,,,,,,,
3196,1516,1520,"תל אביב, מוזיאון הארץ",130-140/160-170,חוף הים הדרומי,קפלן חיה ויעקב,1976,רומית,,מערה,קבר,,,קבר,,"חא נט-ס, עמ 25",,,,,,,,,,,,,,,,
3197,1516,1521,"תל אביב, מוזיאון הארץ",130-140/160-170,חוף הים הדרומי,קפלן יעקב וחיה,3.1976,ברונזה תיכונה 1,,מערה,קבר,,,קבר,,"חא נז-נח, עמ 24",,,,,,,,,,,,,,,,
3198,1516,1521,"תל אביב, מוזיאון הארץ",130-140/160-170,חוף הים הדרומי,קפלן יעקב וחיה,3.1976,ברונזה תיכונה 2,,מערה,קבר,,,קבר,,"חא נז-נח, עמ 24",,,,,,,,,,,,,,,,
3199,1522,1522,"תל אביב, סלמה",130-140/160-170,חוף הים הדרומי,קפלן יעקב,8.1972,ברונזה קדומה 1,,מערה,קבר,,,קבר,,"חא מח-מט, עמ 60",,,,,,,,,,,,,,,,
3200,1523,1523,"תל אביב, רח המסגר",130-140/160-170,חוף הים הדרומי,ריטר קפלן חיה,2.1980.,ברונזה קדומה 1,,חירבה,כפרי,,,קרמיקה בלבד,,"חא עח-עט, עמ 48",,,,,,,,,,,,,,,,
3201,1523,1523,"תל אביב, רח המסגר",130-140/160-170,חוף הים הדרומי,ריטר קפלן חיה,2.1980.,כלקולית,,חירבה,כפרי,,,קרמיקה בלבד,,"חא עח-עט, עמ 48",,,,,,,,,,,,,,,,
3202,1524,1524,"תל אביב, רח העליה",130-140/160-170,חוף הים הדרומי,קפלן יעקב,1972,רומית,מאה 1 לפנהס,מערה,קבר,,,קבר,,"חא מח-מט, עמ 60",,,,,,,,,,,,,,,,
3203,1527,1527,"תל אביב, רח התחייה",130-140/160-170,חוף הים הדרומי,קפלן יעקב,10.1972,רומית,,מערה,קבר,,,קבר,אין ממצא מתארך אך משוייך לבית הקברות של אבו כביר,"חא מח-מט, עמ 60-61",,,,,,,,,,,,,,,,
3204,1525,1525,"תל אביב, רח קיבוץ גלויות",130-140/160-170,חוף הים הדרומי,קפלן יעקב,1.1972,הלניסטית,מאה 3 לפנהס,מערה,קבר,,,קבר,,"חא מח-מט, עמ 59",yes,,,,,,,,,,,,,,,
3205,1526,1526,"תל אביב, רח רשפון",130-140/160-170,חוף הים הדרומי,קפלן יעקב וחיה,1977,ברונזה תיכונה,,מערה,קבר,,,קבר,,"חא סג-סד, עמ 42-43",,,,,,,,,,,,,,,,
3206,1526,1526,"תל אביב, רח רשפון",130-140/160-170,חוף הים הדרומי,קפלן יעקב וחיה,1977,רומית,,מערה,קבר,,,קבר,,"חא סג-סד, עמ 42-43",,,,,,,,,,,,,,,,
3207,1528,1528,"תל אביב, רמת החייל",1342/1683,חוף הים הדרומי,טואג רון,6.1997,ביזנטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 109, עמ 144",,,,,,,,,,,,,,,,
3208,1528,1528,"תל אביב, רמת החייל",1342/1683,חוף הים הדרומי,טואג רון,6.1997,מוסלמי קדום,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 109, עמ 144",,,,,,,,,,,,,,,,
3209,1528,1529,"תל אביב, רמת החייל",134475/168585,חוף הים הדרומי,ינקלביץ שלום,2.1997,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 109, עמ 77-78",,,,,,,,,,,,,,,,
3210,1528,1529,"תל אביב, רמת החייל",134475/168585,חוף הים הדרומי,ינקלביץ שלום,2.1997,ברונזה ביניימית,,חירבה,קבר,,,קבר,,"חא 109, עמ 77-78",,,,,,,,,,,,,,,,
3211,1528,1529,"תל אביב, רמת החייל",134475/168585,חוף הים הדרומי,ינקלביץ שלום,2.1997,מוסלמי קדום,,חירבה,כפרי,,,שרידי בנייה,,"חא 109, עמ 77-78",,,,,,,,,,,,,,,,
3212,1528,1529,"תל אביב, רמת החייל",134475/168585,חוף הים הדרומי,ינקלביץ שלום,2.1997,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא 109, עמ 77-78",,,,,,,,,,,,,,,,
3213,1528,1530,"תל אביב, רמת החייל",134475/168585,חוף הים הדרומי,קפלן יעקב,1965,ביזנטית,,מערה,קבר,,,קבר,,"חא יז, עמ 9",,,,,,,,,,,,,,,,
3214,1531,1531,"תל אביב, תל ברוך",132140/170960,חוף הים הדרומי,מרדר עפר ומילבסקי יניר,9.1996,פליאולית עליון,,,כפרי,,,צור בלבד,,"חא 108, עמ 68",,,,,,,,,,,,,,,,
3215,1532,1532,"תל אביב, תל חשש",130-140/160-170,חוף הים הדרומי,קפלן יעקב,7-8.1966,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא כ, עמ 16",,,,,,,,,,,,,,,,
3216,1532,1532,"תל אביב, תל חשש",130-140/160-170,חוף הים הדרומי,קפלן יעקב,7-8.1966,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא כ, עמ 16",,,,,,,,,,,,,,,,
3217,1532,1533,"תל אביב, תל חשש",130-140/160-170,חוף הים הדרומי,ריטר קפלן חיה,1983-1984,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא פה, עמ 28",yes,,,,,,,,,,,,,,,
3218,1532,1533,"תל אביב, תל חשש",130-140/160-170,חוף הים הדרומי,ריטר קפלן חיה,1983-1984,הלניסטית,,חירבה,כפרי,,,שרידי בנייה,,"חא פה, עמ 28",,,,,,,,,,,,,,,,
3219,1534,1534,תל אל גחדר,גוחדר,רמת הגולן,אורמן דני,1969,ביזנטית,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא לג, עמ 11-12",,,,,,,,,,,,,,,,
3220,1534,1534,תל אל גחדר,גוחדר,רמת הגולן,אורמן דני,1969,ממלוכית,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא לג, עמ 11-12",,,,,,,,,,,,,,,,
3221,1534,1534,תל אל גחדר,גוחדר,רמת הגולן,אורמן דני,1969,רומית,מאה 1 לספירה,מרגלות תל,כפרי,,,שרידי בנייה,,"חא לג, עמ 11-12",yes,,,,,,,,,,,,,,,
3222,1535,1535,תל אל ואויאת,2050/2910,גליל עליון,און אלכסנדר,9.1985-3.1986,ביזנטית,מאה 5-7 לספירה,מרגלות תל,כפרי,,,שרידי בנייה,,"חא צב, עמ 1-2",,,,,,,,,,,,,,,,
3223,1535,1535,תל אל ואויאת,2050/2910,גליל עליון,און אלכסנדר,9.1985-3.1986,ברונזה קדומה 2,,תל,כפרי?,,,קרמיקה בלבד,,"חא צב, עמ 1-2",,,,,,,,,,,,,,,,
3224,1535,1535,תל אל ואויאת,2050/2910,גליל עליון,און אלכסנדר,9.1985-3.1986,ברזל 2,מאה 10-9 לפנהס,תל,כפרי?,,,שרידי בנייה,,"חא צב, עמ 1-2",,,,,,,,,,,,,,,,
3225,1535,1535,תל אל ואויאת,2050/2910,גליל עליון,און אלכסנדר,9.1985-3.1986,הלניסטית,מאה 3-1 לפנהס,תל,עירוני,,,שרידי בנייה,,"חא צב, עמ 1-2",yes,,,,,,,,,,,,,,,
3226,1535,1535,תל אל ואויאת,2050/2910,גליל עליון,און אלכסנדר,9.1985-3.1986,מוסלמי קדום,,תל,כפרי,,,שרידי בנייה,,"חא צב, עמ 1-2",,,,,,,,,,,,,,,,
3227,1535,1535,תל אל ואויאת,2050/2910,גליל עליון,און אלכסנדר,9.1985-3.1986,ממלוכית,מאה 13-14 לספירה,תל,כפרי,,,שרידי בנייה,,"חא צב, עמ 1-2",,,,,,,,,,,,,,,,
3228,1535,1535,תל אל ואויאת,2050/2910,גליל עליון,און אלכסנדר,9.1985-3.1986,פאטימית,מאה 11-12 לספירה,תל,כפרי,,,שרידי בנייה,,"חא צב, עמ 1-2",,,,,,,,,,,,,,,,
3229,1535,1535,תל אל ואויאת,2050/2910,גליל עליון,און אלכסנדר,9.1985-3.1986,פרסית,מאה 5-4 לפנהס,תל,כפרי,,,שרידי בנייה,,"חא צב, עמ 1-2",,,,,,,,,,,,,,,,
3230,1535,1535,תל אל ואויאת,2050/2910,גליל עליון,און אלכסנדר,9.1985-3.1986,רומית,מאה 1 לפנהס- 4 לספירה,תל,עירוני,,,שרידי בנייה,,"חא צב, עמ 1-2",yes,,,,,,,,,,,,,,,
3231,1535,1735,תל אל ואויאת,2050/2910,גליל עליון,אבשלום גורני דינה וגצוב נמרוד,5-7.1999,ברונזה קדומה 2,,תל,כפרי?,כ 8 דונם,80*35,קרמיקה בלבד,,"חא 113, עמ' 1-3",,,,,,,,,,,,,,,,
3232,1535,1735,תל אל ואויאת,2050/2910,גליל עליון,אבשלום גורני דינה וגצוב נמרוד,5-7.1999,ברונזה תיכונה 2א,,תל,כפרי?,כ 8 דונם,80*35,קרמיקה בלבד,,"חא 113, עמ' 1-3",,,,,,,,,,,,,,,,
3233,1535,1735,תל אל ואויאת,2050/2910,גליל עליון,אבשלום גורני דינה וגצוב נמרוד,5-7.1999,ברונזה מאוחרת,,תל,כפרי?,כ 8 דונם,2*2,קרמיקה בלבד,,"חא 113, עמ' 1-3",,,,,,,,,,,,,,,,
3234,1535,1735,תל אל ואויאת,2050/2910,גליל עליון,אבשלום גורני דינה וגצוב נמרוד,5-7.1999,ברזל 1,,תל,כפרי?,כ 8 דונם,"כ 50 מ""ר",שרידי בנייה,,"חא 113, עמ' 1-3",,,,,,,,,,,,,,,,
3235,1535,1735,תל אל ואויאת,2050/2910,גליל עליון,אבשלום גורני דינה וגצוב נמרוד,5-7.1999,ברזל 2א',,תל,כפרי?,כ 8 דונם,"כ 50 מ""ר",שרידי בנייה,,"חא 113, עמ' 1-3",,,,,,,,,,,,,,,,
3236,1535,1735,תל אל ואויאת,2050/2910,גליל עליון,אבשלום גורני דינה וגצוב נמרוד,5-7.1999,פרסית,,תל,כפרי?,כ 8 דונם,,קרמיקה בלבד,,"חא 113, עמ' 1-3",,,,,,,,,,,,,,,,
3237,1535,1735,תל אל ואויאת,2050/2910,גליל עליון,אבשלום גורני דינה וגצוב נמרוד,5-7.1999,הלניסטית,"מאה 3-2 לפנה""ס",תל,כפרי?,כ 8 דונם,,שרידי בנייה,,"חא 113, עמ' 1-3",,,,,,,,,,,,,,,,
3238,1535,1735,תל אל ואויאת,2050/2910,גליל עליון,אבשלום גורני דינה וגצוב נמרוד,5-7.1999,רומית,"מאה 1לפנה""ס- מאה 4 לספירה",תל,כפרי?,כ 8 דונם,,שרידי בנייה,,"חא 113, עמ' 1-3",,,,,,,,,,,,,,,,
3239,1535,1735,תל אל ואויאת,2050/2910,גליל עליון,אבשלום גורני דינה וגצוב נמרוד,5-7.1999,ביזנטית,מאה 4-6 לספירה,תל,כפרי?,כ 8 דונם,,שרידי בנייה,,"חא 113, עמ' 1-3",,,,,,,,,,,,,,,,
3240,1535,1735,תל אל ואויאת,2050/2910,גליל עליון,אבשלום גורני דינה וגצוב נמרוד,5-7.1999,פאטימית,מאה 11 לספירה,תל,עירוני,כ 8 דונם,,שרידי בנייה,,"חא 113, עמ' 1-3",,,,,,,,,,,,,,,,
3241,1535,1735,תל אל ואויאת,2050/2910,גליל עליון,אבשלום גורני דינה וגצוב נמרוד,5-7.1999,צלבני,מאה 12 לספירה,תל,עירוני,כ 8 דונם,,שרידי בנייה,,"חא 113, עמ' 1-3",,,,,,,,,,,,,,,,
3242,1536,1536,תל אל ערימה,2008/2529,עמק הירדן,אדלשטיין גרשון,1964,ברונזה מאוחרת,,מרגלות תל,עירוני,,,שרידי בנייה,,"חא יא, עמ 10-11",,,,,,,,,,,,,,,,
3243,1536,1536,תל אל ערימה,2008/2529,עמק הירדן,אדלשטיין גרשון,1964,ברונזה קדומה 1,,מרגלות תל,עירוני,,,שרידי בנייה,,"חא יא, עמ 10-11",,,,,,,,,,,,,,,,
3244,1536,1536,תל אל ערימה,2008/2529,עמק הירדן,אדלשטיין גרשון,1964,ברונזה תיכונה,,מרגלות תל,עירוני,,,שרידי בנייה,,"חא יא, עמ 10-11",,,,,,,,,,,,,,,,
3245,1536,1536,תל אל ערימה,2008/2529,עמק הירדן,אדלשטיין גרשון,1964,ברזל,,מרגלות תל,עירוני,,,שרידי בנייה,,"חא יא, עמ 10-11",,,,,,,,,,,,,,,,
3246,1536,1536,תל אל ערימה,2008/2529,עמק הירדן,אדלשטיין גרשון,1964,רומית,,אמת מים,עירוני,,,שרידי בנייה,,"חא יא, עמ 10-11",,,,,,,,,,,,,,,,
3247,1537,1537,תל אסור,152/209,חוף הים הדרומי,זיגלמן עזריאל וגופנא רם,10-11.1977,ברונזה קדומה 1,,תל,כפרי,,,שרידי בנייה,,"חא סה-סו, עמ 14-15",,,,,,,,,,,,,,,,
3248,1537,1537,תל אסור,152/209,חוף הים הדרומי,זיגלמן עזריאל וגופנא רם,10-11.1977,כלקולית,,תל,כפרי,,,שרידי בנייה,,"חא סה-סו, עמ 14-15",,,,,,,,,,,,,,,,
3249,1538,1538,תל אפק,14353/16766,חוף הים הדרומי,אקוס איריס,8.1994,רומית - ביזנטית,,דרך,עירוני,,,שרידי בנייה,חלק מכביש לוד אנטיפטריס,חא 112 עמ 70-72,,,,,,,,,,,,,,,,
3250,1539,1539,תל אפק,160-1/249-51,חוף הים הצפוני,שלם דינה,6.1998,ברונזה מאוחרת 2,,מערה,קבר,,10*2.5 מ,קבר,,"חא 110, עמ 112",,,,,,,,,,,,,,,,
3251,1539,1539,תל אפק,160-1/249-51,חוף הים הצפוני,שלם דינה,6.1998,ברונזה תיכונה 2א,,מערה,קבר,,10*2.5 מ,קבר,,"חא 110, עמ 112",,,,,,,,,,,,,,,,
3252,1539,1540,"תל אפק, תל כורדאנה",1605-97/2499-501,גליל תחתון,בדחי רדואן,11.1992,רומית,מאה 1 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 101-102, עמ 118",,,,,,,,,,,,,,,,
3253,1541,1541,תל ארשף,133550/178383,חוף הים הדרומי,גורזלזני אמיר,11.1998,רומית - ביזנטית,מאה 3-4 לספירה,מערה,קבר,,,קבר,,"חא 111, עמ 43",,,,,,,,,,,,,,,,
3254,1542,1542,תל אשדוד,11735/12980,חוף הים הדרומי,באומגרטן יעקב,11.1995,ביזנטית,,מרגלות תל,כפרי?,,,קרמיקה בלבד,מערכת השקייההכוללת באר,"חא 110, עמ 86",,,,,,,,,,,,,,,,
3255,1542,1542,תל אשדוד,11735/12980,חוף הים הדרומי,באומגרטן יעקב,11.1995,מוסלמי קדום,,מרגלות תל,כפרי?,,,קרמיקה בלבד,מערכת השקייההכוללת באר,"חא 110, עמ 86",,,,,,,,,,,,,,,,
3256,1542,1542,תל אשדוד,11735/12980,חוף הים הדרומי,באומגרטן יעקב,11.1995,רומית,,מרגלות תל,עירוני,,,שרידי בנייה,מערכת השקייההכוללת באר,"חא 110, עמ 86",,,,,,,,,,,,,,,,
3257,1542,1543,תל אשדוד,11763/12935,חוף הים הדרומי,באומגרטן יעקב,3-4.1993,רומית - ביזנטית,מאה 3-6 לספירה,מרגלות תל,כפרי?,,"כ 160 מ""ר",מתקן,בית יוצר,"חא 106, עמ 172",,,,,,,,,,,,,,,,
3258,1544,1544,תל אשקלון,10755/11895,חוף הים הדרומי,מסארווה יומנא,4.1997,ביזנטית,מאה 5-6 לספירה,תל,עירוני,,,שרידי בנייה,,"חא 111, עמ 114-115",,,,,,,,,,,,,,,,
3259,1545,1545,תל אשתורי,1994-6/2112-4,עמק הירדן,שלם דינה,"11-12.1995, 5.1996",ברונזה מאוחרת,,תל,כפרי,,,שרידי בנייה,,"חא 107, עמ 40",,,,,,,,,,,,,,,,
3260,1545,1545,תל אשתורי,1994-6/2112-4,עמק הירדן,שלם דינה,"11-12.1995, 5.1996",ברונזה קדומה 1,,תל,כפרי?,,,קרמיקה בלבד,,"חא 107, עמ 40",,,,,,,,,,,,,,,,
3261,1545,1545,תל אשתורי,1994-6/2112-4,עמק הירדן,שלם דינה,"11-12.1995, 5.1996",ברזל 2,,תל,כפרי?,,,קרמיקה בלבד,,"חא 107, עמ 40",,,,,,,,,,,,,,,,
3262,1545,1545,תל אשתורי,1994-6/2112-4,עמק הירדן,שלם דינה,"11-12.1995, 5.1996",הלניסטית,,תל,כפרי,,,שרידי בנייה,,"חא 107, עמ 40",,,,,,,,,,,,,,,,
3263,1547,1547,תל בורגתא,147/214,חוף הים הדרומי,גופנא רם וכוכבי משה,5.1965,ברונזה מאוחרת,,תל,עירוני,כ10 דונם,,שרידי בנייה,,"חא יח-יט, עמ 11-12",,,,,,,,,,,,,,,,
3264,1547,1547,תל בורגתא,147/214,חוף הים הדרומי,גופנא רם וכוכבי משה,5.1965,ברזל 1,,תל,עירוני,כ10 דונם,,שרידי בנייה,,"חא יח-יט, עמ 11-12",,,,,,,,,,,,,,,,
3265,1548,1548,תל בזוק,2205 2273/2207 2569,רמת הגולן,אפשטיין קלר,9.1972,אין תיארוך,,חירבה,כפרי,,,מתקן,דולמן,"חא מד, עמ 2-3",,,,,,,,,,,,,,,,
3266,1549,1549,תל בירה,16525/25615,גליל תחתון,יתאח מישל,6.1995,פרסית,,מערה,קבר,,,קבר,,"חא 108, עמ 174",,,,,,,,,,,,,,,,
3267,1549,1549,תל בירה,16525/25615,גליל תחתון,יתאח מישל,6.1995,רומית - ביזנטית,,מערה,קבר,,,קרמיקה בלבד,,"חא 108, עמ 174",,,,,,,,,,,,,,,,
3268,1549,1550,תל בירה,1662/2564,גליל תחתון,שטרן עדנה,10.1993,ברזל,,חירבה,קבר,,,קבר,,"חא 103, עמ 24-25",,,,,,,,,,,,,,,,
3269,1549,1550,תל בירה,1662/2564,גליל תחתון,שטרן עדנה,10.1993,פרסית,,חירבה,קבר,,,קבר,,"חא 103, עמ 24-25",,,,,,,,,,,,,,,,
3270,1549,1551,"תל בירה, יסעור",165/256,גליל תחתון,בן יוסף יהודה,1970,פרסית,,מערה,קבר,,,קבר,,"חא לו, עמ 8",,,,,,,,,,,,,,,,
3271,1552,1552,תל בית ירח,235/204,עמק הירדן,איזנברג עמנואל,7-8.1981,ברונזה קדומה 2,,חירבה,כפרי,,"כ 100 מ""ר",שרידי בנייה,,"חא עו, עמ 11-13",,,,,,,,,,,,,,,,
3272,1552,1552,תל בית ירח,235/204,עמק הירדן,איזנברג עמנואל,7-8.1981,ברונזה קדומה 3,,חירבה,כפרי,,"כ 100 מ""ר",שרידי בנייה,,"חא עו, עמ 11-13",,,,,,,,,,,,,,,,
3273,1552,1552,תל בית ירח,235/204,עמק הירדן,איזנברג עמנואל,7-8.1981,הלניסטית,מאה 2 לפנהס,חירבה,כפרי,,"כ 100 מ""ר",שרידי בנייה,,"חא עו, עמ 11-13",,,,,,,,,,,,,,,,
3274,1552,1553,תל בית ירח,2040/2343,עמק הירדן,גצוב נמרוד,12.1994-3.1995,ברונזה קדומה 1,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא 106, עמ 29-31",,,,,,,,,,,,,,,,
3275,1552,1553,תל בית ירח,2040/2343,עמק הירדן,גצוב נמרוד,12.1994-3.1995,ברונזה קדומה 2,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא 106, עמ 29-31",,,,,,,,,,,,,,,,
3276,1552,1553,תל בית ירח,2040/2343,עמק הירדן,גצוב נמרוד,12.1994-3.1995,ברונזה קדומה 3,,מרגלות תל,כפרי,,,שרידי בנייה,,"חא 106, עמ 29-31",,,,,,,,,,,,,,,,
3277,1552,1553,תל בית ירח,2040/2343,עמק הירדן,גצוב נמרוד,12.1994-3.1995,הלניסטית,,מרגלות תל,קבר,,,קבר,,"חא 106, עמ 29-31",,,,,,,,,,,,,,,,
3278,1554,1554,תל בית מירסים,141/096,יהודה,אלון דוד,1.1978,ברונזה תיכונה 1,,בית קברות,קבר,,,קבר,,"חא סה-סו, עמ 43-44",,,,,,,,,,,,,,,,
3279,1554,1554,תל בית מירסים,141/096,יהודה,אלון דוד,1.1978,ברונזה תיכונה 2,,בית קברות,קבר,,,קבר,,"חא סה-סו, עמ 43-44",,,,,,,,,,,,,,,,
3280,1554,1555,תל בית מרסים,141/096,יהודה,אלון דוד,3-4.1979,ברונזה תיכונה 2ב,,מרגלות תל,קבר,,,קבר,,"חא סט-עא, עמ 67-68",,,,,,,,,,,,,,,,
